Date,Ward,No_confirmed_cases,
22-Apr-20,Yerwada-Kalas-Dhanori,82,
22-Apr-20,Nagar Road-Wadgaonsheri,18,
23-Apr-20,Aundh-Baner,3,
23-Apr-20,Kothrud-Bavdhan,1,
23-Apr-20,Warje-Karvenagar,9,
23-Apr-20,Sinhagad Road,10,
23-Apr-20,Dhankawadi-Sahakarnagar,45,
23-Apr-20,Kondhwa-Yewalewadi,12,
23-Apr-20,Shivajinagar-Ghole Road,90,
23-Apr-20,Kasba-Vishrambagwada,114,
23-Apr-20,Bhawani Peth,187,
23-Apr-20,Bibwewadi,26,
23-Apr-20,Dhole Patil,122,
23-Apr-20,Wanawadi-Ramtekdi,43,
23-Apr-20,Hadapsar-Mundhawa,28,
23-Apr-20,Yerwada-Kalas-Dhanori,101,
23-Apr-20,Nagar Road-Wadgaonsheri,21,
24-Apr-20,Aundh-Baner,3,
24-Apr-20,Kothrud-Bavdhan,1,
24-Apr-20,Warje-Karvenagar,9,
24-Apr-20,Sinhagad Road,10,
24-Apr-20,Dhankawadi-Sahakarnagar,49,
24-Apr-20,Kondhwa-Yewalewadi,12,
24-Apr-20,Shivajinagar-Ghole Road,110,
24-Apr-20,Kasba-Vishrambagwada,124,
24-Apr-20,Bhawani Peth,195,
24-Apr-20,Bibwewadi,30,
24-Apr-20,Dhole Patil,134,
24-Apr-20,Wanawadi-Ramtekdi,44,
24-Apr-20,Hadapsar-Mundhawa,28,
24-Apr-20,Yerwada-Kalas-Dhanori,104,
24-Apr-20,Nagar Road-Wadgaonsheri,26,
25-Apr-20,Aundh-Baner,3,
25-Apr-20,Kothrud-Bavdhan,1,
25-Apr-20,Warje-Karvenagar,9,
25-Apr-20,Sinhagad Road,10,
25-Apr-20,Dhankawadi-Sahakarnagar,55,
25-Apr-20,Kondhwa-Yewalewadi,13,
25-Apr-20,Shivajinagar-Ghole Road,133,
25-Apr-20,Kasba-Vishrambagwada,127,
25-Apr-20,Bhawani Peth,214,
25-Apr-20,Bibwewadi,31,
25-Apr-20,Dhole Patil,160,
25-Apr-20,Wanawadi-Ramtekdi,54,
25-Apr-20,Hadapsar-Mundhawa,30,
25-Apr-20,Yerwada-Kalas-Dhanori,119,
